Fecha, Hora,Estado_general, Estado_detallado, Valor de Prediccion
2024-10-04,01:48:52,Estable,Estable,0.029110253
2024-10-04,01:48:52,Estable,Estable,0.02132247
2024-10-04,01:48:52,Estable,Estable,0.023695579
2024-10-04,01:48:52,Estable,Estable,0.022399025
2024-10-04,01:48:52,Estable,Estable,0.028469896
2024-10-04,01:48:52,Estable,Estable,0.023001013
2024-10-04,01:48:52,Estable,Estable,0.023825744
2024-10-04,01:48:52,Estable,Estable,0.024927951
2024-10-04,01:48:52,Estable,Estable,0.02443949
2024-10-04,01:48:52,Estable,Estable,0.04231091
2024-10-04,01:48:53,Estable,Estable,0.028983844
2024-10-04,01:48:53,Estable,Estable,0.03122591
2024-10-04,01:48:53,Estable,Estable,0.040250316
2024-10-04,01:48:53,Estable,Estable,0.03082722
2024-10-04,01:48:53,Estable,Estable,0.04048369
2024-10-04,01:48:53,Estable,Estable,0.039673783
2024-10-04,01:48:53,Estable,Estable,0.042891808
2024-10-04,01:48:53,Estable,Estable,0.054123383
2024-10-04,01:48:53,Estable,Estable,0.034112535
2024-10-04,01:48:53,Estable,Estable,0.06379772
2024-10-04,01:48:54,Estable,Estable,0.03923744
2024-10-04,01:48:54,Estable,Estable,0.06512193
2024-10-04,01:48:54,Estable,Estable,0.0445167
2024-10-04,01:48:54,Estable,Estable,0.044855762
2024-10-04,01:48:54,Estable,Estable,0.048903443
2024-10-04,01:48:54,Estable,Estable,0.050625842
2024-10-04,01:48:54,Estable,Estable,0.044483345
2024-10-04,01:48:54,Estable,Estable,0.035742678
2024-10-04,01:48:54,Estable,Estable,0.060319614
2024-10-04,01:48:54,Estable,Estable,0.036824398
2024-10-04,01:48:54,Estable,Estable,0.044019204
2024-10-04,01:48:55,Estable,Estable,0.025667371
2024-10-04,01:48:55,Estable,Estable,0.043518238
2024-10-04,01:48:55,Estable,Estable,0.024956655
2024-10-04,01:48:55,Estable,Estable,0.028617667
2024-10-04,01:48:55,Estable,Estable,0.0274344
2024-10-04,01:48:55,Estable,Estable,0.022767898
2024-10-04,01:48:55,Estable,Estable,0.025216283
2024-10-04,01:48:55,Estable,Estable,0.029114442
2024-10-04,01:48:55,Estable,Estable,0.026977045
2024-10-04,01:48:55,Estable,Estable,0.021533975
2024-10-04,01:48:55,Estable,Estable,0.022813288
2024-10-04,01:48:56,Estable,Estable,0.019468382
2024-10-04,01:48:56,Estable,Estable,0.03293197
2024-10-04,01:48:56,Estable,Estable,0.020639382
2024-10-04,01:48:56,Estable,Estable,0.021041434
2024-10-04,01:48:56,Estable,Estable,0.019163491
2024-10-04,01:48:56,Estable,Estable,0.025226729
2024-10-04,01:48:56,Estable,Estable,0.01864998
2024-10-04,01:48:56,Estable,Estable,0.019963494
2024-10-04,01:48:56,Estable,Estable,0.022589404
2024-10-04,01:48:56,Estable,Estable,0.01548124
2024-10-04,01:48:57,Estable,Estable,0.017402647
2024-10-04,01:48:57,Estable,Estable,0.02973432
2024-10-04,01:48:57,Estable,Estable,0.01709706
2024-10-04,01:48:57,Estable,Estable,0.02923536
2024-10-04,01:48:57,Estable,Estable,0.015290135
2024-10-04,01:48:57,Estable,Estable,0.025778616
2024-10-04,01:48:57,Estable,Estable,0.014888191
2024-10-04,01:48:57,Estable,Estable,0.021995267
2024-10-04,01:48:57,Estable,Estable,0.01459227
2024-10-04,01:48:57,Estable,Estable,0.015997246
2024-10-04,01:48:57,Estable,Estable,0.021891123
2024-10-04,01:48:58,Estable,Estable,0.013789521
2024-10-04,01:48:58,Estable,Estable,0.017770475
