Fecha y Hora,Estado,Valor de Predicción
2024-09-30 03:11:06,Estable,0.3327173
2024-09-30 03:11:06,Estable,0.32350484
2024-09-30 03:11:06,Estable,0.32182774
2024-09-30 03:11:06,Estable,0.3139301
2024-09-30 03:11:06,Estable,0.3150671
2024-09-30 03:11:06,Estable,0.31824985
2024-09-30 03:11:06,Estable,0.33027217
2024-09-30 03:11:06,Estable,0.29439694
2024-09-30 03:11:06,Estable,0.31088033
2024-09-30 03:11:06,Estable,0.30986455
2024-09-30 03:11:06,Estable,0.2995039
2024-09-30 03:11:06,Estable,0.28377157
2024-09-30 03:11:06,Estable,0.28740764
2024-09-30 03:11:06,Estable,0.292542
2024-09-30 03:11:06,Estable,0.2961556
2024-09-30 03:11:06,Estable,0.29381695
2024-09-30 03:11:06,Estable,0.2930297
2024-09-30 03:11:06,Estable,0.2978919
2024-09-30 03:11:06,Estable,0.3405026
2024-09-30 03:11:07,Estable,0.34292236
2024-09-30 03:11:07,Estable,0.43115458
2024-09-30 03:11:07,Estable,0.46818948
2024-09-30 03:11:07,Inestable,0.5167396
2024-09-30 03:11:07,Inestable,0.5131235
2024-09-30 03:11:07,Inestable,0.523138
2024-09-30 03:11:07,Estable,0.4708257
2024-09-30 03:11:07,Estable,0.46858156
2024-09-30 03:11:07,Estable,0.45621967
2024-09-30 03:11:07,Estable,0.4582161
2024-09-30 03:11:07,Estable,0.44841048
2024-09-30 03:11:07,Estable,0.45374623
2024-09-30 03:11:07,Estable,0.4472796
2024-09-30 03:11:07,Estable,0.44804093
2024-09-30 03:11:07,Estable,0.4524402
2024-09-30 03:11:07,Estable,0.45505977
2024-09-30 03:11:07,Estable,0.45782876
2024-09-30 03:11:07,Inestable,0.5304423
2024-09-30 03:11:07,Inestable,0.5458606
2024-09-30 03:11:08,Inestable,0.6284908
2024-09-30 03:11:08,Inestable,0.64313674
2024-09-30 03:11:08,Inestable,0.61679935
2024-09-30 03:11:08,Inestable,0.5677103
2024-09-30 03:11:08,Inestable,0.5025536
2024-09-30 03:11:08,Inestable,0.50219667
2024-09-30 03:11:08,Estable,0.49836144
2024-09-30 03:11:08,Estable,0.48989326
2024-09-30 03:11:08,Estable,0.49039966
2024-09-30 03:11:08,Estable,0.48260993
2024-09-30 03:11:08,Estable,0.48664853
2024-09-30 03:11:08,Estable,0.48800573
2024-09-30 03:11:08,Estable,0.49710324
2024-09-30 03:11:08,Estable,0.490767
2024-09-30 03:11:08,Estable,0.48848292
2024-09-30 03:11:08,Estable,0.4817517
2024-09-30 03:11:08,Estable,0.4801138
2024-09-30 03:11:08,Estable,0.48639244
2024-09-30 03:11:08,Inestable,0.6466929
2024-09-30 03:11:08,Inestable,0.66678005
2024-09-30 03:11:09,Inestable,0.6866323
2024-09-30 03:11:09,Inestable,0.68630385
2024-09-30 03:11:09,Inestable,0.60908663
2024-09-30 03:11:09,Inestable,0.5531377
2024-09-30 03:11:09,Inestable,0.54576147
2024-09-30 03:11:09,Inestable,0.529673
2024-09-30 03:11:09,Inestable,0.5266231
2024-09-30 03:11:09,Inestable,0.529492
2024-09-30 03:11:09,Inestable,0.5334722
2024-09-30 03:11:09,Inestable,0.5229622
2024-09-30 03:11:09,Inestable,0.5218814
2024-09-30 03:11:09,Inestable,0.5204328
2024-09-30 03:11:09,Inestable,0.512318
2024-09-30 03:11:09,Inestable,0.50623804
2024-09-30 03:11:09,Inestable,0.50447994
2024-09-30 03:11:09,Estable,0.4990404
2024-09-30 03:11:09,Estable,0.498286
2024-09-30 03:11:09,Estable,0.49509865
2024-09-30 03:11:09,Estable,0.49591562
2024-09-30 03:11:09,Inestable,0.5017309
2024-09-30 03:11:10,Inestable,0.50428057
2024-09-30 03:11:10,Estable,0.4982886
